class,condition,n,n_executed,n_wasted_broad,n_wasted_strict,n_unknown,total_inout,mean_inout,wasted_inout_broad,pct_wasted_inout_broad,wasted_inout_strict,pct_wasted_inout_strict,total_out,mean_out,wasted_out_broad,pct_wasted_out_broad,wasted_out_strict,pct_wasted_out_strict
1,A,18,18,0,0,0,5237373,290965,0,0.0,0,0.0,41844,2325,0,0.0,0,0.0
1,Bp,18,18,0,0,0,5375038,298613,0,0.0,0,0.0,42896,2383,0,0.0,0,0.0
1,B,18,18,0,0,0,6634786,368599,0,0.0,0,0.0,58451,3247,0,0.0,0,0.0
2,A,18,18,18,18,0,6840192,380011,6840192,100.0,6840192,100.0,91049,5058,91049,100.0,91049,100.0
2,Bp,18,18,18,15,0,6912707,384039,6912707,100.0,5067794,73.3,109912,6106,109912,100.0,83637,76.1
2,B,18,14,11,10,0,6558705,364372,4180637,63.7,3829184,58.4,98699,5483,58948,59.7,53746,54.5
3,A,18,11,11,11,0,7241399,402300,4883325,67.4,4883325,67.4,84089,4672,50225,59.7,50225,59.7
3,Bp,18,12,12,12,0,6587958,365998,5463973,82.9,5463973,82.9,77189,4288,61487,79.7,61487,79.7
3,B,18,1,1,1,0,3211440,178413,428949,13.4,428949,13.4,34135,1896,5794,17.0,5794,17.0
4,A,18,15,9,8,0,7773982,431888,5999961,77.2,5541388,71.3,93583,5199,75300,80.5,72254,77.2
4,Bp,18,16,9,9,0,8075133,448618,5953241,73.7,5953241,73.7,99444,5525,78315,78.8,78315,78.8
4,B,18,12,10,10,0,7574556,420809,6196671,81.8,6196671,81.8,106125,5896,87758,82.7,87758,82.7
