rep,class,condition,n,n_executed,n_wasted_broad,n_wasted_strict,n_unknown,total_inout,mean_inout,wasted_inout_broad,pct_wasted_inout_broad,wasted_inout_strict,pct_wasted_inout_strict,total_out,mean_out,wasted_out_broad,pct_wasted_out_broad,wasted_out_strict,pct_wasted_out_strict
rep1,1,A,6,6,0,0,0,1698828,283138,0,0.0,0,0.0,12832,2139,0,0.0,0,0.0
rep1,1,Bp,6,6,0,0,0,1863421,310570,0,0.0,0,0.0,14348,2391,0,0.0,0,0.0
rep1,1,B,6,6,0,0,0,2187838,364640,0,0.0,0,0.0,19268,3211,0,0.0,0,0.0
rep1,2,A,6,6,6,6,0,2369010,394835,2369010,100.0,2369010,100.0,34118,5686,34118,100.0,34118,100.0
rep1,2,Bp,6,6,6,5,0,2486241,414374,2486241,100.0,1844008,74.2,38151,6358,38151,100.0,30009,78.7
rep1,2,B,6,4,3,3,0,2031417,338570,1182273,58.2,1182273,58.2,34596,5766,17806,51.5,17806,51.5
rep1,3,A,6,3,3,3,0,2144529,357422,1200059,56.0,1200059,56.0,26161,4360,13707,52.4,13707,52.4
rep1,3,Bp,6,4,4,4,0,2180308,363385,1800650,82.6,1800650,82.6,27519,4586,22057,80.2,22057,80.2
rep1,3,B,6,0,0,0,0,1001089,166848,0,0.0,0,0.0,12204,2034,0,0.0,0,0.0
rep1,4,A,6,5,3,3,0,2580322,430054,2016603,78.2,2016603,78.2,33104,5517,26609,80.4,26609,80.4
rep1,4,Bp,6,6,3,3,0,2697085,449514,1844643,68.4,1844643,68.4,34963,5827,26837,76.8,26837,76.8
rep1,4,B,6,3,3,3,0,2225951,370992,1855361,83.4,1855361,83.4,37127,6188,30633,82.5,30633,82.5
rep2,1,A,6,6,0,0,0,1785329,297555,0,0.0,0,0.0,14351,2392,0,0.0,0,0.0
rep2,1,Bp,6,6,0,0,0,1749191,291532,0,0.0,0,0.0,13952,2325,0,0.0,0,0.0
rep2,1,B,6,6,0,0,0,2158299,359716,0,0.0,0,0.0,17752,2959,0,0.0,0,0.0
rep2,2,A,6,6,6,6,0,2238288,373048,2238288,100.0,2238288,100.0,27897,4650,27897,100.0,27897,100.0
rep2,2,Bp,6,6,6,5,0,2165246,360874,2165246,100.0,1639037,75.7,37734,6289,37734,100.0,29146,77.2
rep2,2,B,6,4,3,2,0,2092226,348704,1052368,50.3,700915,33.5,28926,4821,13668,47.3,8466,29.3
rep2,3,A,6,4,4,4,0,2874374,479062,1887124,65.7,1887124,65.7,33725,5621,19753,58.6,19753,58.6
rep2,3,Bp,6,4,4,4,0,2077933,346322,1712445,82.4,1712445,82.4,21643,3607,17649,81.5,17649,81.5
rep2,3,B,6,0,0,0,0,964574,160762,0,0.0,0,0.0,8563,1427,0,0.0,0,0.0
rep2,4,A,6,5,3,3,0,2752128,458688,2072193,75.3,2072193,75.3,30998,5166,25714,83.0,25714,83.0
rep2,4,Bp,6,5,3,3,0,2572792,428799,1979065,76.9,1979065,76.9,32338,5390,25781,79.7,25781,79.7
rep2,4,B,6,4,3,3,0,2370860,395143,1838903,77.6,1838903,77.6,35994,5999,28871,80.2,28871,80.2
rep3,1,A,6,6,0,0,0,1753216,292203,0,0.0,0,0.0,14661,2444,0,0.0,0,0.0
rep3,1,Bp,6,6,0,0,0,1762426,293738,0,0.0,0,0.0,14596,2433,0,0.0,0,0.0
rep3,1,B,6,6,0,0,0,2288649,381442,0,0.0,0,0.0,21431,3572,0,0.0,0,0.0
rep3,2,A,6,6,6,6,0,2232894,372149,2232894,100.0,2232894,100.0,29034,4839,29034,100.0,29034,100.0
rep3,2,Bp,6,6,6,5,0,2261220,376870,2261220,100.0,1584749,70.1,34027,5671,34027,100.0,24482,71.9
rep3,2,B,6,6,5,5,0,2435062,405844,1945996,79.9,1945996,79.9,35177,5863,27474,78.1,27474,78.1
rep3,3,A,6,4,4,4,0,2222496,370416,1796142,80.8,1796142,80.8,24203,4034,16765,69.3,16765,69.3
rep3,3,Bp,6,4,4,4,0,2329717,388286,1950878,83.7,1950878,83.7,28027,4671,21781,77.7,21781,77.7
rep3,3,B,6,1,1,1,0,1245777,207630,428949,34.4,428949,34.4,13368,2228,5794,43.3,5794,43.3
rep3,4,A,6,5,3,2,0,2441532,406922,1911165,78.3,1452592,59.5,29481,4914,22977,77.9,19931,67.6
rep3,4,Bp,6,5,3,3,0,2805256,467543,2129533,75.9,2129533,75.9,32143,5357,25697,79.9,25697,79.9
rep3,4,B,6,5,4,4,0,2977745,496291,2502407,84.0,2502407,84.0,33004,5501,28254,85.6,28254,85.6
