rep,class,n,neg_inout,exec_inout,pct_neg_inout,neg_out,exec_out,pct_neg_out
rep1,1,6,697199,1490639,31.9,5423,13845,28.1
rep1,2,6,844752,1186665,41.6,11302,23294,32.7
rep1,3,6,1001089,0,100.0,12204,0,100.0
rep1,4,6,826110,1399841,37.1,11710,25417,31.5
rep2,1,6,693327,1464972,32.1,4354,13398,24.5
rep2,2,6,906102,1186124,43.3,11182,17744,38.7
rep2,3,6,964574,0,100.0,8563,0,100.0
rep2,4,6,713497,1657363,30.1,9485,26509,26.4
rep3,1,6,723699,1564950,31.6,4987,16444,23.3
rep3,2,6,773377,1661685,31.8,9953,25224,28.3
rep3,3,6,999624,246153,80.2,10972,2396,82.1
rep3,4,6,789893,2187852,26.5,12359,20645,37.4
all,1,18,2114225,4520561,31.9,14764,43687,25.3
all,2,18,2524231,4034474,38.5,32437,66262,32.9
all,3,18,2965287,246153,92.3,31739,2396,93.0
all,4,18,2329500,5245056,30.8,33554,72571,31.6
